Condition,n,β,β_CI,η_N,η_CI_N,B10_N,B50_N,B90_N,R²,AD
Base,10,42.303,"[31.205, 81.873]",41.02,"[40.29, 41.84]",38.89,40.66,41.83,0.9717,0.2693
3 wt.% fiber,10,16.796,"[11.874, 31.857]",24.27,"[23.16, 25.86]",21.22,23.74,25.50,0.9247,0.6530
5 wt.% fiber,10,16.396,"[12.126, 27.121]",22.22,"[21.15, 23.56]",19.37,21.73,23.38,0.9356,0.4258
7 wt.% fiber,10,13.146,"[9.730, 27.262]",19.83,"[18.43, 20.48]",16.71,19.28,21.12,0.9961,0.2875
