Condition_1,Condition_2,Beta_1,Eta_1,Beta_2,Eta_2,Eta_Difference_Pct,LR_Statistic,p_value,Significant_at_0.05
Base,3 wt.% fiber,42.30305577962251,41.01745515676041,16.795591189678397,24.266469731943342,-40.83867553654461,77.7056528929549,0.0,Yes
Base,5 wt.% fiber,42.30305577962251,41.01745515676041,16.395740923567782,22.22216839060447,-45.82265451214406,84.3452025750106,0.0,Yes
Base,7 wt.% fiber,42.30305577962251,41.01745515676041,13.145605125906558,19.82592202886922,-51.6646706795959,90.0351935843361,0.0,Yes
3 wt.% fiber,5 wt.% fiber,16.795591189678397,24.266469731943342,16.395740923567782,22.22216839060447,-8.424387081932409,8.812109393469697,0.012203228919414943,Yes
3 wt.% fiber,7 wt.% fiber,16.795591189678397,24.266469731943342,13.145605125906558,19.82592202886922,-18.299108820220262,26.13871093388714,2.1088759724063877e-06,Yes
5 wt.% fiber,7 wt.% fiber,16.395740923567782,22.22216839060447,13.145605125906558,19.82592202886922,-10.783134749120089,14.530192449603447,0.0006995339538944378,Yes
