Condition_1,Condition_2,Beta_1,Eta_1,Beta_2,Eta_2,Eta_Difference_Pct,LR_Statistic,p_value,Significant_at_0.05
Base,3 wt.% fiber,9.107431586985301,63.961846362298495,20.039376673161225,46.48110131833506,-27.329956901099155,9.002886607463807,0.011092974447234116,Yes
Base,5 wt.% fiber,9.107431586985301,63.961846362298495,9.144813357611952,40.90034751277298,-36.0550862132692,25.050994276353237,3.632835307354476e-06,Yes
Base,7 wt.% fiber,9.107431586985301,63.961846362298495,7.838513088837569,38.79389856675014,-39.34837598806917,35.01747879836748,2.489150141560259e-08,Yes
3 wt.% fiber,5 wt.% fiber,20.039376673161225,46.48110131833506,9.144813357611952,40.90034751277298,-12.006500808449383,-7.712119810742635,1.0,No
3 wt.% fiber,7 wt.% fiber,20.039376673161225,46.48110131833506,7.838513088837569,38.79389856675014,-16.5383403868544,5.134272687913807,0.076755031016707,No
5 wt.% fiber,7 wt.% fiber,9.144813357611952,40.90034751277298,7.838513088837569,38.79389856675014,-5.150198162411726,3.545477386808443,0.1698671371959588,No
